S (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T),,,,
0.7,2.62E-08,2.17E-08,-1.55E-06,,,,
7.13E-01,1.08E-08,1.41E-08,-1.48E-06,,,,
7.26E-01,6.23E-09,7.54E-09,-1.42E-06,,,,
7.39E-01,4.69E-09,5.41E-09,-1.35E-06,,,,
7.51E-01,2.71E-09,6.34E-09,-1.30E-06,,,,
7.64E-01,5.43E-09,5.90E-09,-1.24E-06,,,,
7.77E-01,4.26E-09,7.13E-09,-1.19E-06,,,,
7.90E-01,4.23E-09,6.94E-09,-1.14E-06,,,,
0.80297,4.26E-09,6.78E-09,-1.09E-06,,,,
0.81584,3.78E-09,6.77E-09,-1.04E-06,,,,
0.82871,3.37E-09,7.06E-09,-1.00E-06,,,,
0.84158,4.12E-09,7.48E-09,-9.58E-07,,,,
0.85446,3.88E-09,6.39E-09,-9.13E-07,,,,
0.86733,3.30E-09,5.69E-09,-8.75E-07,,,,
0.8802,2.44E-09,5.54E-09,-8.42E-07,,,,
0.89307,2.48E-09,6.10E-09,-8.07E-07,,,,
0.90594,1.91E-09,5.28E-09,-7.74E-07,,,,
0.91881,3.24E-09,6.71E-09,-7.42E-07,,,,
0.93168,2.31E-09,5.84E-09,-7.04E-07,,,,
0.94455,2.22E-09,5.40E-09,-6.73E-07,,,,
0.95743,1.64E-09,4.69E-09,-6.46E-07,,,,
0.9703,1.83E-09,4.58E-09,-6.17E-07,,,,
0.98317,1.68E-09,4.29E-09,-5.90E-07,,,,
0.99604,1.36E-09,3.68E-09,-5.65E-07,,,,
1.0089,1.34E-09,3.89E-09,-5.42E-07,,,,
1.0218,1.55E-09,3.84E-09,-5.19E-07,,,,
1.0347,1.30E-09,2.47E-09,-4.94E-07,,,,
1.0475,1.10E-09,2.26E-09,-4.73E-07,,,,
1.0604,9.54E-10,2.26E-09,-4.52E-07,,,,
1.0733,8.96E-10,2.25E-09,-4.31E-07,,,,
1.0861,8.32E-10,2.29E-09,-4.11E-07,,,,
1.099,8.18E-10,2.33E-09,-3.92E-07,,,,
1.1119,1.00E-09,2.53E-09,-3.73E-07,,,,
1.1248,1.03E-09,2.82E-09,-3.55E-07,,,,
1.1376,9.54E-10,3.28E-09,-3.37E-07,,,,
1.1505,8.95E-10,3.64E-09,-3.19E-07,,,,
1.1634,9.57E-10,2.43E-09,-3.02E-07,,,,
1.1762,7.82E-10,3.50E-09,-2.85E-07,,,,
1.1891,8.44E-10,2.90E-09,-2.68E-07,,,,
1.202,9.23E-10,2.86E-09,-2.53E-07,,,,
1.2149,9.20E-10,2.98E-09,-2.38E-07,,,,
1.2277,7.90E-10,2.96E-09,-2.22E-07,,,,
1.2406,7.30E-10,2.97E-09,-2.06E-07,,,,
1.2535,6.82E-10,2.80E-09,-1.91E-07,,,,
1.2663,4.15E-10,2.78E-09,-1.77E-07,,,,
1.2792,7.47E-10,2.47E-09,-1.64E-07,,,,
1.2921,6.84E-10,1.88E-09,-1.45E-07,,,,
1.305,5.76E-10,2.19E-09,-1.32E-07,,,,
1.3178,9.64E-10,2.44E-09,-1.16E-07,,,,
1.3307,1.62E-09,4.62E-09,-1.02E-07,,,,
1.3436,2.12E-09,7.08E-09,-8.75E-08,,,,
1.3564,2.23E-09,7.38E-09,-7.28E-08,,,,
1.3693,2.34E-09,7.67E-09,-5.81E-08,,,,
1.3822,2.32E-09,6.84E-09,-3.99E-08,,,,
1.395,2.30E-09,5.95E-09,-2.15E-08,,,,
1.4079,1.28E-09,4.43E-09,-7.24E-09,,,,
1.4208,2.09E-10,2.82E-09,5.45E-09,,,,
1.4337,9.08E-10,2.44E-09,2.05E-08,,,,
1.4465,7.01E-10,2.71E-09,3.52E-08,,,,
1.4594,1.24E-09,1.76E-09,5.81E-08,,,,
1.4723,8.55E-10,3.02E-09,7.13E-08,,,,
1.4851,9.55E-10,3.92E-09,8.96E-08,,,,
1.498,1.17E-09,2.33E-09,1.11E-07,,,,
1.5109,8.89E-10,1.97E-09,1.30E-07,,,,
1.5238,7.43E-10,2.56E-09,1.48E-07,,,,
1.5366,1.19E-09,1.49E-09,1.63E-07,,,,
1.5495,1.31E-09,4.01E-09,1.85E-07,,,,
1.5624,1.55E-09,4.04E-09,2.07E-07,,,,
1.5752,1.64E-09,3.90E-09,2.30E-07,,,,
1.5881,1.74E-09,3.92E-09,2.54E-07,,,,
1.601,1.82E-09,4.10E-09,2.78E-07,,,,
1.6139,1.88E-09,3.95E-09,3.04E-07,,,,
1.6267,1.73E-09,3.29E-09,3.29E-07,,,,
1.6396,2.08E-09,2.67E-09,3.55E-07,,,,
1.6525,2.36E-09,2.81E-09,3.83E-07,,,,
1.6653,1.79E-09,2.84E-09,4.12E-07,,,,
1.6782,2.13E-09,3.68E-09,4.40E-07,,,,
1.6911,2.75E-09,4.49E-09,4.70E-07,,,,
1.704,2.76E-09,3.78E-09,5.06E-07,,,,
1.7168,2.37E-09,4.15E-09,5.42E-07,,,,
1.7297,3.44E-09,6.00E-09,5.73E-07,,,,
1.7426,3.40E-09,4.86E-09,6.12E-07,,,,
1.7554,3.71E-09,4.99E-09,6.51E-07,,,,
1.7683,3.73E-09,5.46E-09,6.92E-07,,,,
1.7812,3.16E-09,5.38E-09,7.34E-07,,,,
1.7941,3.98E-09,6.77E-09,7.76E-07,,,,
1.8069,4.33E-09,7.57E-09,8.23E-07,,,,
1.8198,5.34E-09,8.00E-09,8.74E-07,,,,
1.8327,6.34E-09,8.43E-09,9.25E-07,,,,
1.8455,5.83E-09,6.43E-09,9.84E-07,,,,
1.8584,5.66E-09,6.38E-09,1.04E-06,,,,
1.8713,5.50E-09,8.19E-09,1.09E-06,,,,
1.8842,6.48E-09,9.93E-09,1.15E-06,,,,
1.897,6.35E-09,1.06E-08,1.22E-06,,,,
1.9099,6.38E-09,1.14E-08,1.28E-06,,,,
1.9228,6.43E-09,1.07E-08,1.36E-06,,,,
1.9356,6.81E-09,1.01E-08,1.43E-06,,,,
1.9485,6.91E-09,1.05E-08,1.51E-06,,,,
1.9614,7.34E-09,1.16E-08,1.59E-06,,,,
1.9743,6.04E-09,1.53E-08,1.67E-06,,,,
1.9871,8.70E-09,1.57E-08,1.79E-06,,,,
2,5.95E-09,1.29E-08,1.87E-06,,,,
